question,contexts,answer,answer_relevancy,faithfulness
What is the halal status of e1400?,"['\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0'
 '\ufeffingred_name: e140\nchem_name: Chlorophyll (C.I. 75810)*\ndescription: Colouring\nhalal_non_halal_doubtful: 2']",The halal status of e1400 is not mentioned in the given context information.,0.9999999999999997,1.0
Is Dextrin considered halal?,"['\ufeffingred_name: Dextrin\nchem_name: \ndescription: \nhalal_non_halal_doubtful: 0'
 '\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0']","Yes, Dextrin is considered halal.",0.9999887000031539,0.0
Can Dextrin be used as a thickener in halal food products?,"['\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0'
 '\ufeffingred_name: Dextrin\nchem_name: \ndescription: \nhalal_non_halal_doubtful: 0']","Yes, Dextrin can be used as a thickener in halal food products.",0.9511679400817048,1.0
Is e1400 a halal ingredient?,"['\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0'
 '\ufeffingred_name: e140\nchem_name: Chlorophyll (C.I. 75810)*\ndescription: Colouring\nhalal_non_halal_doubtful: 2']","Yes, e1400 is a halal ingredient.",0.994967092049901,0.0
Does e1400 have any doubtful halal status?,"['\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0'
 '</font></li>\n  <li><font size=""2"" face=""Verdana"">Emulsifiers (E470 to E483) -\n  <span xml:lang=""ar"">haraam</span> if obtained from pork or non-<span xml:lang=""ar"">halal</span> \n  sources. </font></li>\n  <li><font size=""2"" face=""Verdana"">Edible Bone Phosphate (E542) -\n  <span xml:lang=""ar"">haraam</span> if obtained from pork or non-<span xml:lang=""ar"">halal</span> \n  meat sources. <br>\n&nbsp;</font></li>\n</ul>\n<table width=""100%"" border=""0"">\n  <tbody><tr>\n    <td valign=""top"" width=""100%"">\n    <div align=""center"">\n      <table style=""width: 98%; border-collapse: collapse"" bordercolordark=""#666666"" cellpadding=""0"" bordercolorlight=""#CCCCCC"" border=""1"" cellspacing=""0"" bordercolor=""#111111"" height=""5617"">\n        <tbody><tr>\n          <td style=""width: 12%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">-Number</font></b></td>\n          <td style=""width: 27%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">Name</font></b></p></td>\n          <td style=""width: 23%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">Description</font></b></td>\n          <td style=""width: 34%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">Halal Status</font></b></td>\n        </tr>\n        <tr style=""height: 1.5pt"">\n          <td style=""width: 12%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">E100</font></b></p></td>\n          <td style=""width: 27%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Curcumin/Turmeric</font></p></td>\n          <td style=""width: 23%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Color</font></p></td>\n          <td style=""width: 34%; height: 82; padding: 0.75pt"">\n          <font face=""Verdana"" size=""2"">&nbsp;Halal if pure grind turmeric<o:p> \n          powder or granular. Mushbooh if used as liquid, the solvents has to be \n          Halal. Haraam if hidden ingredient is pork fat based emulsifier in dry \n          mix.']","No, e1400 does not have any doubtful halal status.",0.9494258307633779,0.0
Is Dextrin derived from halal sources?,"['\ufeffingred_name: Dextrin\nchem_name: \ndescription: \nhalal_non_halal_doubtful: 0'
 'which originate from many different sources, and broken down by enzymes and water to form glucose, oligosaccharides, followed by maltitol and sorbitol\n(E420)</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e967 - Halal</h2><p class=""mt-2 font-light"">Xylitol</p><p class=""mt-4 font-light"">Sweetener: Commercially produced as a waste product of the pulp industry</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-red-600""><h2 class=""text-xl font-bold"">e1200 - Doubtful</h2><p class=""mt-2 font-light"">Polydextrose*</p><p class=""mt-4 font-light"">Miscellaneous: Manufactured from glucose, citric acid and sorbitol</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e1201 - Halal</h2><p class=""mt-2 font-light"">Polyvinylpyrrolidone</p><p class=""mt-4 font-light"">Miscellaneous: Commercially produced from acetylene, hydrogen, formaldehyde\nand ammonia</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e1202 - Halal</h2><p class=""mt-2 font-light"">Polyvinyl Polypyrrolidone</p><p class=""mt-4 font-light"">Miscellaneous: It is the insolule form of polyvinylpyrrolidone (E1201)</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e1400 - Halal</h2><p class=""mt-2 font-light"">Dextrin</p><p class=""mt-4 font-light"">Thickener: May be produced by the dry heating of unmodified starch or in the presence of acids and buffers. Starches used are mainly from corn (maize) and tapioca</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e1403 - Halal</h2><p class=""mt-2 font-light"">Bleached Starch</p><p class=""mt-4 font-light"">Thickener: May be obtained by treating native starch with various chemicals including hydrogen peroxide, sodium chlorite or sulphur dioxide</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e1404 - Halal</h2><p class=""mt-2 font-light"">Oxidised Starch</p><p class=""mt-4 font-light"">Thickener: Produced by treating native starch with sodium hypochlorite</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-red-600""><h2 class=""text-xl font-bold"">e1405 - Doubtful</h2><p class=""mt-2 font-light"">Enzyme-treated Starch*</p><p class=""mt-4 font-light"">Thickener: Produced by subjecting corn starch to acid-enzyme treatment to yield glucose, maltose and higher\noligosaccharides</p></div><div class=""grid-col-1 rounded-lg p-8  text-white shadow-lg hover:shadow-2xl bg-green-600""><h2 class=""text-xl font-bold"">e1410 - Halal</h2><p class=""mt-2 font-light"">Monostarch Phosphate</p><p class=""mt-4 font-light"">Thickener: Produced by the esterification of native starch with orthophosphoric acid, sodium or potassium orthophosphate,']","Yes, Dextrin is derived from halal sources.",0.88880470023498,1.0
What is the processing method of e1400?,"['\ufeffingred_name: e1405\nchem_name: Enzyme-treated Starch\ndescription: Thickener\nhalal_non_halal_doubtful: 2'
 '\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0']",The processing method of e1400 is not mentioned in the given context information.,1.0000000000000007,1.0
Does the processing method of e1400 affect its halal status?,"['Haraam if pork gelatin is used as hidden ingredient or \n          carrier </o:p>\n          <o:p>&nbsp;</o:p></font></td>\n        </tr>\n        <tr>\n          <td style=""width: 12%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">E161a</font></b></p></td>\n          <td style=""width: 27%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Flavoxanthin</font></p></td>\n          <td style=""width: 23%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Color</font></p></td>\n          <td style=""width: 34%; padding: 0.75pt"" height=""50"">\n          <font size=""2"" face=""Verdana"">Halal if used as 100% dry color. \n          Mushbooh if used as liquid color, the solvent has to be Halal<o:p>\n          </o:p>\n          </font><font face=""Verdana"">\n          <o:p><font size=""2"">&nbsp;</font></o:p></font></td>\n        </tr>\n        <tr>\n          <td style=""width: 12%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">E161b</font></b></p></td>\n          <td style=""width: 27%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Lutein</font></p></td>\n          <td style=""width: 23%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Color</font></p></td>\n          <td style=""width: 34%; padding: 0.75pt"" height=""50"">\n          <font face=""Verdana"" size=""2"">\n          <o:p>Halal if used as 100% dry powder or granular. Haraam if pork \n          gelatin or pork glycerin is added in dry or liquid form </o:p>\n          </font></td>\n        </tr>\n        <tr>\n          <td style=""width: 12%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">E161c</font></b></p></td>\n          <td style=""width: 27%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Cryptoxanthin</font></p></td>\n          <td style=""width: 23%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Color</font></p></td>\n          <td style=""width: 34%; padding: 0.75pt"" height=""50"">\n          <font size=""2"" face=""Verdana"">Halal if used as 100% dry color.'
 '</font></li>\n  <li><font size=""2"" face=""Verdana"">Emulsifiers (E470 to E483) -\n  <span xml:lang=""ar"">haraam</span> if obtained from pork or non-<span xml:lang=""ar"">halal</span> \n  sources. </font></li>\n  <li><font size=""2"" face=""Verdana"">Edible Bone Phosphate (E542) -\n  <span xml:lang=""ar"">haraam</span> if obtained from pork or non-<span xml:lang=""ar"">halal</span> \n  meat sources. <br>\n&nbsp;</font></li>\n</ul>\n<table width=""100%"" border=""0"">\n  <tbody><tr>\n    <td valign=""top"" width=""100%"">\n    <div align=""center"">\n      <table style=""width: 98%; border-collapse: collapse"" bordercolordark=""#666666"" cellpadding=""0"" bordercolorlight=""#CCCCCC"" border=""1"" cellspacing=""0"" bordercolor=""#111111"" height=""5617"">\n        <tbody><tr>\n          <td style=""width: 12%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">-Number</font></b></td>\n          <td style=""width: 27%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">Name</font></b></p></td>\n          <td style=""width: 23%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">Description</font></b></td>\n          <td style=""width: 34%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">Halal Status</font></b></td>\n        </tr>\n        <tr style=""height: 1.5pt"">\n          <td style=""width: 12%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">E100</font></b></p></td>\n          <td style=""width: 27%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Curcumin/Turmeric</font></p></td>\n          <td style=""width: 23%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Color</font></p></td>\n          <td style=""width: 34%; height: 82; padding: 0.75pt"">\n          <font face=""Verdana"" size=""2"">&nbsp;Halal if pure grind turmeric<o:p> \n          powder or granular. Mushbooh if used as liquid, the solvents has to be \n          Halal. Haraam if hidden ingredient is pork fat based emulsifier in dry \n          mix.']",The processing method of e1400 does not affect its halal status.,0.97107221518031,1.0
Is e1400 considered non-halal?,"['</font></li>\n  <li><font size=""2"" face=""Verdana"">Emulsifiers (E470 to E483) -\n  <span xml:lang=""ar"">haraam</span> if obtained from pork or non-<span xml:lang=""ar"">halal</span> \n  sources. </font></li>\n  <li><font size=""2"" face=""Verdana"">Edible Bone Phosphate (E542) -\n  <span xml:lang=""ar"">haraam</span> if obtained from pork or non-<span xml:lang=""ar"">halal</span> \n  meat sources. <br>\n&nbsp;</font></li>\n</ul>\n<table width=""100%"" border=""0"">\n  <tbody><tr>\n    <td valign=""top"" width=""100%"">\n    <div align=""center"">\n      <table style=""width: 98%; border-collapse: collapse"" bordercolordark=""#666666"" cellpadding=""0"" bordercolorlight=""#CCCCCC"" border=""1"" cellspacing=""0"" bordercolor=""#111111"" height=""5617"">\n        <tbody><tr>\n          <td style=""width: 12%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">-Number</font></b></td>\n          <td style=""width: 27%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">Name</font></b></p></td>\n          <td style=""width: 23%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">Description</font></b></td>\n          <td style=""width: 34%; padding: 0.75pt"" bgcolor=""#E9E9E9"" height=""26"">\n          <b><font face=""Verdana"" size=""2"">Halal Status</font></b></td>\n        </tr>\n        <tr style=""height: 1.5pt"">\n          <td style=""width: 12%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">E100</font></b></p></td>\n          <td style=""width: 27%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Curcumin/Turmeric</font></p></td>\n          <td style=""width: 23%; height: 82; padding: 0.75pt"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Color</font></p></td>\n          <td style=""width: 34%; height: 82; padding: 0.75pt"">\n          <font face=""Verdana"" size=""2"">&nbsp;Halal if pure grind turmeric<o:p> \n          powder or granular. Mushbooh if used as liquid, the solvents has to be \n          Halal. Haraam if hidden ingredient is pork fat based emulsifier in dry \n          mix.'
 '\ufeffingred_name: e140\nchem_name: Chlorophyll (C.I. 75810)*\ndescription: Colouring\nhalal_non_halal_doubtful: 2']","Yes, e1400 is considered non-halal.",0.943371748370453,0.0
Is there sufficient information available to determine the halal status of e1400?,"['\ufeffingred_name: e1400\nchem_name: Dextrin\ndescription: Thickener\nhalal_non_halal_doubtful: 0'
 'Halal if it is from plant fat, \n          Haraam if it is from pork fat</font></td>\n        </tr>\n      </tbody></table>\n    </div>\n    <p><b><font face=""Verdana"" size=""2"">&nbsp;</font></b></p>\n    <p><u><b><font face=""Verdana"" size=""2"" color=""#008000"">FOOD INGREDIENTS \n    NUMBERS WITH NO E-PREFIX:</font></b></u></p>\n    <div align=""center"">\n      <table style=""width: 98%; border-collapse: collapse"" bordercolordark=""#666666"" cellpadding=""0"" bordercolorlight=""#CCCCCC"" border=""1"" cellspacing=""0"" bordercolor=""#111111"" height=""3146"">\n        <tbody><tr>\n          <td style=""width: 12%; padding: 0.75pt"" height=""24"" bgcolor=""#E9E9E9"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">Number</font></b></p></td>\n          <td style=""width: 28%; padding: 0.75pt"" height=""24"" bgcolor=""#E9E9E9"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">Name</font></b></p></td>\n          <td style=""width: 27%; padding: 0.75pt"" height=""24"" bgcolor=""#E9E9E9"">\n          <b><font face=""Verdana"" size=""2"">DESCRIPTION</font></b></td>\n          <td style=""width: 30%; padding: 0.75pt"" height=""24"" bgcolor=""#E9E9E9"">\n          <b><font face=""Verdana"" size=""2"">HALAL STATUS</font></b></td>\n        </tr>\n        <tr>\n          <td style=""width: 12%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">107</font></b></p></td>\n          <td style=""width: 28%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Yellow 2G</font></p></td>\n          <td style=""width: 27%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Colors</font></p></td>\n          <td style=""width: 30%; padding: 0.75pt"" height=""50"">\n          <font size=""2"" face=""Verdana"">Halal if used as 100% dry color. \n          Mushbooh if used as liquid color, the solvent has to be Halal<o:p>\n          </o:p>\n          </font><font face=""Verdana"">\n          <o:p><font size=""2"">&nbsp;</font></o:p></font></td>\n        </tr>\n        <tr>\n          <td style=""width: 12%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center""><b>\n          <font face=""Verdana"" size=""2"">128</font></b></p></td>\n          <td style=""width: 28%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Red 2G</font></p></td>\n          <td style=""width: 27%; padding: 0.75pt"" height=""50"">\n          <p style=""text-align: center"" align=""center"">\n          <font face=""Verdana"" size=""2"">Colors</font></p></td>\n          <td style=""width: 30%; padding: 0.75pt"" height=""50"">\n          <font size=""2"" face=""Verdana"">Halal if used as 100% dry color.']","Yes, there is sufficient information available to determine the halal status of e1400.",0.979447056511333,1.0
